name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,founded_month,founded_year
1-800-DOCTORS,Health and Wellness,1750000,operating,USA,NJ,Newark,Iselin,1,1984-01-01,2011-03-02,2011-03-02,0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10 Minutes With,Education,4400000,operating,GBR,Unknown,London,London,2,2013-01-01,2013-01-01,2014-10-09,400000,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,1,0
10-20 Media,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28,0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000 Corks,Search,40000,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,2008-01-01,2011-08-23,2011-08-23,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000 Markets,Marketplaces,500000,acquired,Unknown,Unknown,Unknown,Unknown,1,2009-01-01,2009-05-15,2009-05-15,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000memories,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16,15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0,7,0
1000museums.com,Curated Web,4962651,operating,USA,WA,Seattle,Bellevue,6,2008-01-01,2009-10-14,2014-09-19,0,3814772,0,0,0,1147879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1001 Menus,Restaurants,4059079,operating,FRA,Unknown,Paris,Paris,4,2010-11-20,2012-12-15,2013-11-13,522169,3536910,0,0,0,0,0,0,0,0,0,0,0,3536910,0,0,0,0,0,0,0,11,0
1006.tv,Media,10000000,operating,CHN,Unknown,Beijing,Beijing,3,2009-01-01,2011-01-01,2014-07-31,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,1,0
100du.tv,Hospitality,3000000,operating,Unknown,Unknown,Unknown,Unknown,2,,2008-01-07,2010-08-13,0,3000000,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0
100e.com,Education,4500000,operating,CHN,Unknown,Beijing,Beijing,2,,2006-01-01,2006-09-01,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100health,Health Care Information Technology,420000,operating,USA,WI,Madison,Madison,1,2014-07-04,2014-11-26,2014-11-26,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
100Plus,Analytics,1250000,acquired,USA,CA,SF Bay Area,San Francisco,2,2011-09-16,2011-11-02,2011-11-30,750000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1010data,Software,35000000,operating,USA,NY,New York City,New York,1,2000-01-01,2010-03-08,2010-03-08,0,35000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10BestThings,Curated Web,50000,closed,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10sec,Mobile Commerce,1600000,operating,Unknown,Unknown,Unknown,Unknown,2,2013-07-08,2013-10-31,2014-05-08,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
10seconds Software,Mobility,100000,operating,AUS,Unknown,Sydney,Sydney,1,2009-07-01,2010-07-01,2010-07-01,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
10X Technologies,Biotechnology,3000000,operating,USA,CA,SF Bay Area,Oakland,1,2012-01-01,2012-11-07,2012-11-07,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10X10 Room,Software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12,0,0,0,0,0,77500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117go,Social Travel,20000000,operating,CHN,Unknown,Shanghai,Shanghai,1,2011-10-01,2014-04-28,2014-04-28,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,10,0
11i Solutions,Enterprise Software,1800000,operating,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22,0,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121cast,Mobile,270000,operating,AUS,Unknown,Melbourne,Melbourne,2,2012-02-01,2012-05-01,2012-11-13,250000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
121nexus,Pharmaceuticals,794000,operating,USA,RI,Providence,Providence,6,2011-10-07,2012-02-06,2014-01-01,69000,0,0,0,0,0,500000,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1234ENTER,Advertising,650267,operating,Unknown,Unknown,Unknown,Unknown,2,2012-01-01,2012-09-01,2013-11-22,500000,150267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1248,Software,378812,operating,GBR,Unknown,London,Cambridge,1,2013-01-01,2014-03-18,2014-03-18,378812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12Bis,,130636,operating,FRA,Unknown,Paris,Paris,1,2008-01-01,2012-03-15,2012-03-15,130636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12Return,Software,619494,operating,NLD,Unknown,NLD - Other,Gorinchem,1,2010-12-10,2012-06-01,2012-06-01,0,0,0,0,0,0,619494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
1366 Technologies,Manufacturing,66450000,operating,USA,MA,Boston,Bedford,8,2007-01-01,2008-03-27,2013-12-12,0,63450000,0,0,0,0,0,3000000,0,0,0,0,0,12400000,28400000,17500000,0,0,0,0,0,1,0
13th Lab,Mobile,700000,operating,SWE,Unknown,Stockholm,Stockholm,1,2010-01-01,2012-06-15,2012-06-15,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140 Proof,Advertising,5500000,operating,USA,CA,SF Bay Area,San Francisco,2,2010-01-11,2009-07-01,2011-04-28,0,5500000,0,0,0,0,0,0,0,0,0,0,0,3000000,2500000,0,0,0,0,0,0,1,0
140Fire,Entertainment,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159.com,Software,6204822,operating,CHN,Unknown,CHN - Other,Unknown,2,,2008-02-01,2011-03-01,0,6204822,0,0,0,0,0,0,0,0,0,0,0,4500000,1704822,0,0,0,0,0,0,0,0
15Five,Software,3400000,operating,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02,2200000,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
15MinutesNOW,Games,200000,operating,Unknown,Unknown,Unknown,Unknown,1,2011-04-19,2011-05-10,2011-05-10,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16 Mile Solutions,Software,199957,operating,USA,WA,Seattle,Seattle,1,2006-01-01,2009-06-11,2009-06-11,0,199957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169 ST.,Games,50000,operating,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
170 Systems,Software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16,0,14000000,0,0,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,0,0,1,0
17u.cn,Travel,84440319,operating,CHN,Unknown,Shanghai,Suzhou,3,2004-01-01,2008-01-01,2014-02-17,0,84440319,0,0,0,0,0,0,0,0,0,0,0,479014,0,83961305,0,0,0,0,0,1,0
1871,Designers,2500000,operating,USA,IL,Chicago,Chicago,1,,2014-06-17,2014-06-17,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19pay,Finance,9478511,operating,CHN,Unknown,Beijing,Beijing,3,2005-01-01,2006-01-01,2013-07-01,0,6230000,0,3248511,0,0,0,0,0,0,0,0,0,0,6230000,0,0,0,0,0,0,1,0
1C Company,Software,200000000,Unknown,RUS,Unknown,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03,0,0,0,0,0,0,0,0,200000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1calendar,Education,40000,operating,DNK,Unknown,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1d4 Pty,,40000,operating,NOR,Unknown,Aust-Agder,Unknown,1,,2012-04-11,2012-04-11,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1DayLater,Curated Web,43811,operating,Unknown,Unknown,Unknown,Unknown,2,2009-08-26,2009-05-01,2009-10-01,0,0,0,0,0,31924,0,11887,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1DayMakeover,E-Commerce,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1Energy Systems,Software,1450000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2013-04-22,2013-04-22,0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1EQ,Mobile Health,2100000,operating,Unknown,Unknown,Unknown,Unknown,3,2013-03-08,2012-07-01,2013-12-23,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1jiajie,E-Commerce,4163132,operating,CHN,Unknown,Beijing,Beijing,2,,2013-09-01,2014-09-16,0,4163132,0,0,0,0,0,0,0,0,0,0,0,4163132,0,0,0,0,0,0,0,0,0
1Lay,Mobile Security,170000,operating,Unknown,Unknown,Unknown,Unknown,1,2013-07-18,2014-05-30,2014-05-30,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1Life Healthcare,Health and Wellness,30000000,operating,USA,CA,SF Bay Area,San Francisco,1,2002-01-01,2013-03-21,2013-03-21,0,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,0,0,0,1,0
1Mind,Social Media,500000,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,2011-01-01,2013-08-05,2013-08-05,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1Rebel,Fitness,2572969,operating,Unknown,Unknown,Unknown,Unknown,1,,2014-09-01,2014-09-01,0,0,2572969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1SDK,Predictive Analytics,156000,operating,DEU,Unknown,Berlin,Berlin,2,2013-01-25,2013-08-05,2013-09-02,156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1spire,Manufacturing,30000,operating,USA,TX,Houston,Houston,1,2011-10-01,2011-12-20,2011-12-20,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1st Merchant Funding,Financial Services,10000000,Unknown,USA,FL,Miami,Miami,1,2007-01-01,2014-05-07,2014-05-07,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1stdibs,E-Commerce,117000000,operating,USA,NY,New York City,New York,4,2001-01-01,2011-11-03,2014-01-24,0,57000000,0,60000000,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,1,0
1stGig.com,E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1World Online,Enterprise Software,1500000,operating,USA,CA,SF Bay Area,San Jose,2,2011-12-01,2013-07-02,2013-12-01,0,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,12,0
2 Minutes,Games,1660000,operating,FRA,Unknown,Paris,Paris,1,2000-10-01,2008-06-19,2008-06-19,0,1660000,0,0,0,0,0,0,0,0,0,0,0,1660000,0,0,0,0,0,0,0,10,0
2 Pro Media Group,,41250,operating,Unknown,Unknown,Unknown,Unknown,1,2011-01-01,2014-01-01,2014-01-01,41250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2-Observe,,204189,operating,BEL,Unknown,BEL - Other,Ferrires,1,2010-01-01,2014-06-25,2014-06-25,204189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20/20 Gene Systems Inc.,Biotechnology,150000,operating,USA,MD,"Washington, D.C.",Rockville,1,2000-05-01,2012-09-25,2012-09-25,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2080 Media,News,41000000,operating,USA,GA,Atlanta,Atlanta,5,2008-01-01,2010-08-05,2013-07-19,0,35700000,0,0,0,5300000,0,0,0,0,0,0,0,2500000,0,0,26000000,0,0,0,0,1,0
20:20 Mobile,Mobile,29750000,operating,IRL,Unknown,IRL - Other,Cree,1,2006-09-01,2008-07-04,2008-07-04,0,29750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
20lines,Curated Web,1236454,operating,ITA,Unknown,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01,1236454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20x200,Art,2800000,operating,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01,0,2800000,0,0,0,0,0,0,0,0,0,0,0,2800000,0,0,0,0,0,0,0,9,0
21Cake Food Co.,Manufacturing,1464128,operating,CHN,Unknown,Beijing,Beijing,1,2004-01-01,2010-01-22,2010-01-22,0,0,0,0,0,0,1464128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21Diamonds,E-Commerce,6369507,operating,IND,Unknown,New Delhi,Gurgaon,1,2012-06-01,2012-11-15,2012-11-15,0,6369507,0,0,0,0,0,0,0,0,0,0,0,0,0,6369507,0,0,0,0,0,6,0
2.10E+07,Big Data,5050000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-01-01,2013-11-17,2013-11-17,0,5050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21GRAMS,Software,2580000,operating,SWE,Unknown,Stockholm,Stockholm,1,,2006-04-03,2006-04-03,0,2580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21st Century Oncology,Health and Wellness,325000000,operating,USA,FL,Fort Myers,Fort Myers,1,,2014-09-26,2014-09-26,0,0,0,0,0,0,0,0,325000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21viaNet,Software,100000000,operating,CHN,Unknown,Beijing,Beijing,2,2009-10-16,2012-12-01,2013-10-01,0,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,10,0
22nd Century Group,Biotechnology,15034750,operating,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18,0,12528500,0,0,0,2506250,0,0,0,0,0,0,0,2428500,0,0,0,0,0,0,0,1,0
22seeds,Software,250000,operating,ISR,Unknown,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2345.com,Software,1610541,operating,CHN,Unknown,Shanghai,Shanghai,2,2005-09-01,2010-05-01,2010-10-01,0,0,0,1610541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2359 Media,Mobile,615000,operating,SGP,Unknown,Singapore,Singapore,1,2009-02-01,2011-01-11,2011-01-11,0,615000,0,0,0,0,0,0,0,0,0,0,0,615000,0,0,0,0,0,0,0,2,0
23andMe,Biotechnology,111949900,operating,USA,CA,SF Bay Area,Mountain View,6,2006-04-01,2007-05-01,2014-07-29,0,110549900,0,0,0,0,0,1400000,0,0,0,0,0,9000000,12600000,31000000,57949900,0,0,0,0,4,0
23press,Blogging Platforms,50000,operating,CAN,ON,Toronto,Toronto,1,2011-06-01,2011-08-15,2011-08-15,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
24 Media Network,News,1209701,operating,SWE,Unknown,Stockholm,Stockholm,2,,2008-09-01,2009-01-01,0,1024250,0,185451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/7 Card,Finance,3452941,closed,USA,CA,Los Angeles,Los Angeles,3,,2010-10-25,2011-12-21,0,3452941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247 Techies,Hardware + Software,600000,operating,USA,NY,New York City,New York,1,,2012-11-05,2012-11-05,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248 SolidState,,500000,operating,USA,CA,Los Angeles,Rolling Hills Estates,1,2007-01-01,2009-07-23,2009-07-23,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,1,0
24Fundraiser.com,Social Fundraising,400000,operating,USA,IL,Chicago,Willowbrook,1,2007-08-01,2014-05-01,2014-05-01,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
24M Technologies,Clean Technology,16000000,operating,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16,0,16000000,0,0,0,0,0,0,0,0,0,0,0,16000000,0,0,0,0,0,0,0,1,0
24PageBooks,Software,50000,closed,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24tidy,Services,1856561,operating,CHN,Unknown,CHN - Other,Unknown,2,,2013-12-27,2014-07-14,0,1692088,0,0,0,0,164473,0,0,0,0,0,0,1692088,0,0,0,0,0,0,0,0,0
24x7 Learning,Education,4000000,operating,IND,Unknown,Bangalore,Bangalore,1,2001-01-01,2007-11-06,2007-11-06,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250ok,Software,200000,operating,USA,IN,Indianapolis,Indianapolis,1,2012-01-01,2012-09-01,2012-09-01,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25eight,Software,25000,closed,Unknown,Unknown,Unknown,Unknown,1,,2010-01-26,2010-01-26,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265 Network,Software,2000000,operating,CHN,Unknown,Beijing,Beijing,1,2004-01-01,2004-12-01,2004-12-01,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27 Perry,E-Commerce,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
280 North,Software,250000,acquired,Unknown,Unknown,Unknown,Unknown,2,,2008-01-01,2008-03-01,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28msec,Software,5844811,operating,USA,CA,SF Bay Area,Palo Alto,1,2008-01-01,2013-10-28,2013-10-28,0,5844811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2B Angels,,1000000,operating,ISR,Unknown,Tel Aviv,Herzliya,1,2009-01-01,2013-11-01,2013-11-01,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2C2P,Software,3000000,operating,THA,Unknown,Bangkok,Bangkok,3,2003-01-01,2011-01-01,2014-06-03,0,3000000,0,0,0,0,0,0,0,0,0,0,0,1000000,2000000,0,0,0,0,0,0,1,0
2can,Mobile,7000000,operating,RUS,Unknown,Moscow,Moscow,2,2012-04-12,2012-09-01,2014-03-31,0,7000000,0,0,0,0,0,0,0,0,0,0,0,2000000,5000000,0,0,0,0,0,0,4,0
2Catalyze,Software,6785876,operating,CAN,ON,Toronto,Toronto,1,2008-01-01,2010-08-25,2010-08-25,0,6785876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2Checkout,E-Commerce,60000000,operating,USA,OH,"Columbus, Ohio",Columbus,1,,2014-07-16,2014-07-16,0,60000000,0,0,0,0,0,0,0,0,0,0,0,60000000,0,0,0,0,0,0,0,0,0
2CRisk,Software,383000,operating,AUS,Unknown,Brisbane,Brisbane,2,2010-07-01,2010-04-01,2012-10-10,0,0,0,0,0,0,0,383000,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2d2c,Hardware + Software,2941000,operating,USA,IL,Chicago,Lincolnshire,3,,2009-04-07,2011-01-18,0,2500000,0,0,0,441000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2degreesmobile,Mobile,165000000,operating,NZL,Unknown,Auckland,Auckland,1,2009-01-01,2013-06-18,2013-06-18,0,0,0,0,0,165000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2DHeat,Clean Technology,474116,operating,GBR,Unknown,Warrington,Warrington,4,,2014-10-24,2014-10-24,0,0,0,0,0,0,209183,264933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2DOLife.com,Software,250000,operating,USA,CA,SF Bay Area,San Pablo,1,2011-12-01,2013-11-10,2013-11-10,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2GO Mobile Solutions,Software,275000,operating,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09,0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2heuresavant,,33457,operating,FRA,Unknown,Paris,Paris,1,2010-01-01,2010-07-01,2010-07-01,33457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2houses,Curated Web,966728,operating,BEL,Unknown,Brussels,Bel,2,2011-05-01,2011-08-08,2012-11-09,106626,860102,0,0,0,0,0,0,0,0,0,0,0,860102,0,0,0,0,0,0,0,5,0
"2nd Story Software, Inc.",Software,85000000,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30,0,0,0,0,0,0,0,0,85000000,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2nd Watch,Corporate IT,37644420,operating,USA,WA,Seattle,Seattle,4,2010-01-01,2011-12-06,2014-10-14,0,37644420,0,0,0,0,0,0,0,0,0,0,0,0,0,33000000,0,0,0,0,0,1,0
2NDNATURE,,20000,operating,USA,CA,SF Bay Area,Santa Cruz,1,2004-01-01,2013-03-31,2013-03-31,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2NGageU,Mobile Social,58000,operating,USA,VT,VT - Other,Williston,1,2011-12-26,2012-04-12,2012-04-12,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2Nite2Nite.net,Advertising,6000,operating,USA,CA,Sacramento,Elk Grove,1,2013-09-13,2014-09-13,2014-09-13,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2sms,Messaging,939000,operating,USA,IL,Chicago,Schaumburg,1,,2007-11-01,2007-11-01,0,939000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2threads,Art,300000,operating,AUS,Unknown,Sydney,Sydney,2,2004-05-01,2007-08-01,2008-06-01,100000,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2U,Software,95875000,operating,USA,MD,Baltimore,Hanover,6,2008-01-01,2009-03-25,2013-10-21,2275000,93600000,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,32500000,31100000,0,0,0,0,1,0
2Vancouver,Navigation,80000,operating,CAN,BC,Vancouver,Vancouver,1,2012-01-25,2011-06-01,2011-06-01,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3-V Biosciences,Biotechnology,78089000,operating,USA,CA,SF Bay Area,Menlo Park,4,2007-03-01,2009-07-10,2013-06-21,0,78089000,0,0,0,0,0,0,0,0,0,0,0,0,30000000,20000000,0,0,0,0,0,3,0
30 Second Showcase,Photography,25000,operating,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
